['168', '148', '151', '153', '158', '160', '162', '164', '169', '170', '173', '174', '175', '178', '180', '181', '182', '183', '185', '186', '188', '620']
['331', '146', '147', '154', '156', '157', '159', '167', '176', '177', '179', '184', '187', '196', '197', '198', '199', '202', '203', '204', '205', '555']
['341', '155', '163', '166', '193', '195', '201', '206', '208', '211', '215', '217', '225', '229', '230', '233', '235', '240', '243', '250', '254', '597']
['339', '152', '161', '172', '189', '194', '207', '209', '210', '212', '227', '228', '232', '237', '238', '245', '248', '249', '251', '252', '256', '579']
['427', '149', '150', '165', '191', '213', '218', '219', '220', '223', '231', '236', '242', '247', '259', '262', '274', '277', '286', '287', '289', '607']
['421', '171', '214', '216', '222', '239', '244', '253', '258', '260', '261', '263', '265', '269', '271', '272', '282', '285', '290', '291', '294', '624']
['430', '190', '200', '221', '241', '255', '275', '276', '281', '288', '296', '298', '300', '301', '304', '305', '306', '312', '314', '316', '321', '627']
['364', '246', '278', '283', '284', '293', '297', '302', '315', '319', '320', '322', '323', '324', '325', '328', '332', '333', '334', '335', '338', '569']
['550', '192', '226', '267', '268', '270', '273', '295', '307', '311', '318', '329', '340', '342', '345', '362', '386', '387', '368', '373', '374', '559']
['533', '264', '266', '279', '280', '317', '336', '344', '347', '354', '359', '360', '365', '385', '366', '367', '371', '376', '390', '391', '392', '626']
['554', '310', '313', '330', '350', '358', '363', '384', '369', '378', '379', '381', '383', '388', '389', '393', '399', '408', '409', '411', '413', '536']
['528', '224', '234', '292', '303', '308', '326', '348', '351', '355', '357', '370', '375', '377', '380', '401', '406', '407', '410', '412', '414', '585']
['606', '299', '346', '349', '353', '361', '382', '394', '403', '405', '417', '423', '424', '431', '437', '441', '443', '446', '447', '448', '452', '599']
['522', '257', '402', '418', '419', '422', '429', '435', '442', '445', '450', '454', '462', '467', '468', '469', '471', '474', '476', '482', '483', '629']
['432', '396', '415', '426', '433', '434', '438', '440', '444', '449', '451', '455', '457', '459', '460', '470', '473', '477', '484', '486', '487', '567']
['571', '327', '337', '343', '352', '398', '420', '439', '472', '478', '480', '489', '495', '514', '515', '516', '519', '498', '499', '500', '505', '628']
['613', '309', '395', '416', '425', '436', '453', '461', '463', '464', '465', '466', '479', '488', '494', '496', '518', '501', '504', '507', '509', '570']
['610', '356', '372', '397', '404', '458', '475', '485', '490', '491', '517', '503', '506', '508', '510', '511', '523', '525', '527', '529', '531', '622']
['617', '400', '428', '493', '497', '513', '502', '521', '524', '526', '534', '537', '538', '539', '540', '543', '545', '547', '549', '553', '558', '578']
['602', '456', '481', '512', '535', '542', '548', '552', '556', '557', '560', '561', '562', '563', '566', '575', '576', '577', '580', '582', '583', '615']
['623', '492', '520', '546', '568', '572', '581', '586', '589', '591', '592', '598', '600', '601', '604', '605', '608', '609', '611', '612', '614', '573']
['590', '541', '544', '551', '564', '565', '574', '584', '587', '588', '593', '594', '595', '596', '603', '616', '618', '621', '625', '530', '532', '619']
